Brand,Model,Year,Mileage,FuelType,Transmission,EngineSize,Horsepower,Owner,Price
Toyota,Camry,2023,135047,Petrol,Manual,1106,138,2,853702
BMW,3 Series,2022,65129,Petrol,Manual,3198,454,1,3122288
Toyota,Corolla,2017,161500,Petrol,Automatic,2450,287,1,905830
Audi,A3,2022,18946,Petrol,Manual,1769,260,1,2885309
Hyundai,i20,2013,129778,Diesel,Manual,2789,316,1,675242
Audi,A4,2017,95045,Diesel,Automatic,2239,189,1,2663160
Honda,City,2023,166418,Petrol,Manual,1729,152,3,488240
Honda,Civic,2013,84929,Diesel,Manual,1901,214,2,586702
BMW,5 Series,2017,31635,Petrol,Manual,1956,232,3,2717695
Hyundai,i20,2013,131985,Petrol,Automatic,1020,115,1,360167
Toyota,Camry,2023,119753,Petrol,Automatic,1426,205,1,1114320
Toyota,Fortuner,2014,120432,Petrol,Automatic,1204,105,1,717856
Honda,Civic,2012,166937,Diesel,Automatic,3352,446,3,534919
Toyota,Corolla,2023,20512,Diesel,Automatic,1091,153,2,1355999
Audi,Q3,2018,169048,Diesel,Manual,1133,120,1,2111292
BMW,X1,2015,146612,Diesel,Automatic,3114,346,2,2447993
Hyundai,Creta,2023,9787,Petrol,Automatic,1022,88,1,1340621
Toyota,Fortuner,2012,109050,Diesel,Manual,1764,156,1,701458
Hyundai,Verna,2022,121723,Diesel,Manual,1911,265,1,971708
Audi,Q3,2022,88583,Diesel,Automatic,2971,400,1,2971268
BMW,5 Series,2022,171433,Diesel,Manual,3323,446,2,2850936
Hyundai,Verna,2022,62421,Petrol,Manual,3227,345,2,1177397
Honda,City,2013,63456,Petrol,Automatic,1105,155,1,870775
Audi,A4,2014,101431,Petrol,Manual,3089,282,1,2449370
Toyota,Camry,2020,101831,Diesel,Automatic,3086,335,2,1340310
Hyundai,Creta,2017,69194,Diesel,Automatic,2304,297,3,859463
BMW,X1,2021,42769,Diesel,Automatic,1209,178,2,2958573
Hyundai,i20,2015,109297,Diesel,Automatic,2878,360,1,964529
BMW,5 Series,2012,92801,Diesel,Manual,1763,158,2,2352654
Audi,Q3,2016,112117,Petrol,Manual,1111,142,1,2221132
Hyundai,Verna,2023,58565,Diesel,Manual,2511,283,1,1290612
Hyundai,Creta,2014,103374,Petrol,Manual,1332,120,2,410416
Honda,Civic,2013,136955,Diesel,Automatic,2748,320,1,810961
BMW,3 Series,2014,114321,Diesel,Manual,1096,116,2,2121179
Toyota,Camry,2022,153385,Diesel,Automatic,3411,388,3,1183364
BMW,5 Series,2016,120591,Petrol,Manual,2242,234,1,2421508
Toyota,Camry,2023,149553,Petrol,Manual,1606,236,1,1056943
Honda,Civic,2017,53945,Diesel,Manual,2994,256,1,1335658
Toyota,Fortuner,2013,121614,Petrol,Automatic,3324,435,1,904574
Honda,Civic,2019,121498,Diesel,Automatic,2009,236,1,1038969
Audi,A4,2021,105850,Petrol,Manual,1449,151,1,2529791
Hyundai,Verna,2013,34149,Petrol,Manual,1412,165,1,848235
Honda,City,2023,167153,Petrol,Automatic,3275,459,3,922049
